id_direccion,id_master,pais,direccion_completa,componente_via,componente_localidad,componente_region
ADR_IRMARO_23101989F_102023_01,IRMARO_23101989F_102023,espana,"Ronda Reforma 4078, Valencia, Madrid",Ronda Reforma 4078,Valencia,Madrid
ADR_MAMAHE_03061957F_082020_01,MAMAHE_03061957F_082020,espana,"Avenida Independencia 8132, Sevilla, Madrid",Avenida Independencia 8132,Sevilla,Madrid
ADR_ALMAHE_13021940M_122020_01,ALMAHE_13021940M_122020,espana,"Paseo Salud 472, Zaragoza, Cataluna",Paseo Salud 472,Zaragoza,Cataluna
ADR_SAPERO_27121946F_102023_01,SAPERO_27121946F_102023,espana,"Calle Central 2052, Valencia, Cataluna",Calle Central 2052,Valencia,Cataluna
ADR_CAFEPE_26011966F_072023_01,CAFEPE_26011966F_072023,espana,"Paseo Reforma 8416, Madrid, Andalucia",Paseo Reforma 8416,Madrid,Andalucia
ADR_ALRODI_07121992M_042023_01,ALRODI_07121992M_042023,espana,"Calle Sur 4858, Valencia, Madrid",Calle Sur 4858,Valencia,Madrid
ADR_DAPEDI_29061968M_032021_01,DAPEDI_29061968M_032021,espana,"Paseo Reforma 4310, Barcelona, Cataluna",Paseo Reforma 4310,Barcelona,Cataluna
ADR_CARUMA_11111994M_012022_01,CARUMA_11111994M_012022,espana,"Calle Central 6760, Sevilla, Andalucia",Calle Central 6760,Sevilla,Andalucia
ADR_ALFERO_16082000M_092021_01,ALFERO_16082000M_092021,espana,"Ronda Sur 2882, Sevilla, Cataluna",Ronda Sur 2882,Sevilla,Cataluna
ADR_ISFEHE_17091964F_102021_01,ISFEHE_17091964F_102021,espana,"Paseo Central 8010, Valencia, Andalucia",Paseo Central 8010,Valencia,Andalucia
ADR_MAGAFE_10101941F_062023_01,MAGAFE_10101941F_062023,espana,"Paseo Salud 9269, Madrid, Cataluna",Paseo Salud 9269,Madrid,Cataluna
ADR_MAMAPE_26081981M_092022_01,MAMAPE_26081981M_092022,espana,"Avenida Central 5093, Zaragoza, Madrid",Avenida Central 5093,Zaragoza,Madrid
ADR_DAHEMA_12012002M_122022_01,DAHEMA_12012002M_122022,espana,"Ronda Norte 210, Sevilla, Andalucia",Ronda Norte 210,Sevilla,Andalucia
ADR_IRSARU_04112015F_022023_01,IRSARU_04112015F_022023,espana,"Ronda Reforma 2508, Madrid, Cataluna",Ronda Reforma 2508,Madrid,Cataluna
ADR_LUFELO_02082008F_062022_01,LUFELO_02082008F_062022,espana,"Ronda Norte 2078, Zaragoza, Madrid",Ronda Norte 2078,Zaragoza,Madrid
ADR_RAJIHE_20101960M_102022_01,RAJIHE_20101960M_102022,espana,"Ronda Salud 8441, Sevilla, Andalucia",Ronda Salud 8441,Sevilla,Andalucia
ADR_CASADI_10121990M_082023_01,CASADI_10121990M_082023,espana,"Paseo Central 6064, Sevilla, Aragon",Paseo Central 6064,Sevilla,Aragon
ADR_NUMAJI_01101996F_112021_01,NUMAJI_01101996F_112021,espana,"Ronda Independencia 9759, Valencia, Aragon",Ronda Independencia 9759,Valencia,Aragon
ADR_DALORU_07011948M_112020_01,DALORU_07011948M_112020,espana,"Calle Central 7394, Madrid, Cataluna",Calle Central 7394,Madrid,Cataluna
ADR_DARUHE_31121934M_092023_01,DARUHE_31121934M_092023,espana,"Paseo Independencia 773, Valencia, Madrid",Paseo Independencia 773,Valencia,Madrid
ADR_MALOLO_09091938F_032020_01,MALOLO_09091938F_032020,espana,"Paseo Salud 2357, Valencia, Cataluna",Paseo Salud 2357,Valencia,Cataluna
ADR_MAHEMA_01011993F_122021_01,MAHEMA_01011993F_122021,espana,"Paseo Norte 1915, Barcelona, Aragon",Paseo Norte 1915,Barcelona,Aragon
ADR_ALHEPE_23061997M_052023_01,ALHEPE_23061997M_052023,espana,"Avenida Salud 1959, Barcelona, Aragon",Avenida Salud 1959,Barcelona,Aragon
ADR_JASARU_09061971M_112023_01,JASARU_09061971M_112023,espana,"Calle Independencia 172, Madrid, Valencia",Calle Independencia 172,Madrid,Valencia
ADR_ALRURU_30121977M_072022_01,ALRURU_30121977M_072022,espana,"Avenida Sur 6837, Barcelona, Madrid",Avenida Sur 6837,Barcelona,Madrid
ADR_MAROHE_24101994F_012020_01,MAROHE_24101994F_012020,espana,"Avenida Norte 8331, Zaragoza, Valencia",Avenida Norte 8331,Zaragoza,Valencia
ADR_SEMAGO_25032006M_042022_01,SEMAGO_25032006M_042022,espana,"Avenida Norte 2088, Madrid, Cataluna",Avenida Norte 2088,Madrid,Cataluna
ADR_MALOJI_08071961M_112022_01,MALOJI_08071961M_112022,espana,"Ronda Salud 259, Valencia, Andalucia",Ronda Salud 259,Valencia,Andalucia
ADR_MAMAPE_05121983M_122021_01,MAMAPE_05121983M_122021,espana,"Paseo Norte 5961, Barcelona, Madrid",Paseo Norte 5961,Barcelona,Madrid
ADR_DAMAGA_19092001M_122020_01,DAMAGA_19092001M_122020,espana,"Paseo Norte 8107, Sevilla, Valencia",Paseo Norte 8107,Sevilla,Valencia
ADR_LADIGO_21091978F_032023_01,LADIGO_21091978F_032023,espana,"Paseo Sur 6119, Zaragoza, Madrid",Paseo Sur 6119,Zaragoza,Madrid
ADR_MAPEMA_17021957M_082020_01,MAPEMA_17021957M_082020,espana,"Avenida Sur 4325, Valencia, Andalucia",Avenida Sur 4325,Valencia,Andalucia
ADR_LUFEDI_09042012F_012023_01,LUFEDI_09042012F_012023,espana,"Ronda Independencia 1916, Zaragoza, Madrid",Ronda Independencia 1916,Zaragoza,Madrid
ADR_LALOGA_13112004F_092023_01,LALOGA_13112004F_092023,espana,"Ronda Reforma 8886, Madrid, Andalucia",Ronda Reforma 8886,Madrid,Andalucia
ADR_PAGAMA_22071975F_062023_01,PAGAMA_22071975F_062023,espana,"Paseo Reforma 6188, Valencia, Andalucia",Paseo Reforma 6188,Valencia,Andalucia
ADR_LUSADI_17031952F_012022_01,LUSADI_17031952F_012022,espana,"Paseo Central 6570, Sevilla, Cataluna",Paseo Central 6570,Sevilla,Cataluna
ADR_ALPERO_04051966M_012023_01,ALPERO_04051966M_012023,espana,"Paseo Reforma 7086, Valencia, Cataluna",Paseo Reforma 7086,Valencia,Cataluna
ADR_PAROGO_19041948M_082020_01,PAROGO_19041948M_082020,espana,"Calle Norte 5784, Sevilla, Andalucia",Calle Norte 5784,Sevilla,Andalucia
ADR_DALOMA_18031969M_042023_01,DALOMA_18031969M_042023,espana,"Ronda Central 9408, Barcelona, Andalucia",Ronda Central 9408,Barcelona,Andalucia
ADR_LAJIDI_10071975F_072023_01,LAJIDI_10071975F_072023,espana,"Calle Salud 8211, Zaragoza, Madrid",Calle Salud 8211,Zaragoza,Madrid
ADR_ALMAMA_09112024M_062023_01,ALMAMA_09112024M_062023,espana,"Calle Reforma 3217, Sevilla, Valencia",Calle Reforma 3217,Sevilla,Valencia
ADR_ANDIJI_26071974M_072023_01,ANDIJI_26071974M_072023,espana,"Calle Sur 1538, Valencia, Cataluna",Calle Sur 1538,Valencia,Cataluna
ADR_SESAMA_06062002M_102022_01,SESAMA_06062002M_102022,espana,"Paseo Norte 7108, Zaragoza, Madrid",Paseo Norte 7108,Zaragoza,Madrid
ADR_CLRURO_08032023F_032022_01,CLRURO_08032023F_032022,espana,"Ronda Independencia 5993, Valencia, Madrid",Ronda Independencia 5993,Valencia,Madrid
ADR_LURORO_28041967F_022022_01,LURORO_28041967F_022022,espana,"Avenida Independencia 9727, Zaragoza, Valencia",Avenida Independencia 9727,Zaragoza,Valencia
ADR_PAMAGO_14052021F_012021_01,PAMAGO_14052021F_012021,espana,"Ronda Reforma 592, Valencia, Madrid",Ronda Reforma 592,Valencia,Madrid
ADR_MAHEMA_31031975M_032020_01,MAHEMA_31031975M_032020,espana,"Paseo Independencia 9234, Sevilla, Valencia",Paseo Independencia 9234,Sevilla,Valencia
ADR_JAROFE_04101963M_052022_01,JAROFE_04101963M_052022,espana,"Calle Independencia 7426, Madrid, Andalucia",Calle Independencia 7426,Madrid,Andalucia
ADR_ALHEXX_02021988M_011900_01,ALHEXX_02021988M_011900,espana,"Calle Norte 6278, Barcelona, Aragon",Calle Norte 6278,Barcelona,Aragon
ADR_RAPERO_30031961M_072020_01,RAPERO_30031961M_072020,espana,"Calle Sur 7824, Zaragoza, Madrid",Calle Sur 7824,Zaragoza,Madrid
ADR_PAPEMA_06011975M_012023_01,PAPEMA_06011975M_012023,espana,"Calle Central 2701, Valencia, Valencia",Calle Central 2701,Valencia,Valencia
ADR_PAPEGO_02072022M_092022_01,PAPEGO_02072022M_092022,espana,"Avenida Independencia 8504, Zaragoza, Madrid",Avenida Independencia 8504,Zaragoza,Madrid
ADR_DAPEPE_25031978M_042020_01,DAPEPE_25031978M_042020,espana,"Paseo Reforma 9776, Madrid, Andalucia",Paseo Reforma 9776,Madrid,Andalucia
ADR_ELDIHE_22091944F_092023_01,ELDIHE_22091944F_092023,espana,"Calle Norte 2391, Barcelona, Andalucia",Calle Norte 2391,Barcelona,Andalucia
ADR_PAJIXX_08082005M_032021_01,PAJIXX_08082005M_032021,espana,"Avenida Sur 8153, Sevilla, Madrid",Avenida Sur 8153,Sevilla,Madrid
ADR_NUJIMA_28081945F_022021_01,NUJIMA_28081945F_022021,espana,"Calle Salud 2973, Madrid, Aragon",Calle Salud 2973,Madrid,Aragon
ADR_SAMAPE_06021989F_062021_01,SAMAPE_06021989F_062021,espana,"Ronda Central 6833, Valencia, Aragon",Ronda Central 6833,Valencia,Aragon
ADR_ISDIDI_11021977F_122021_01,ISDIDI_11021977F_122021,espana,"Calle Independencia 8510, Zaragoza, Aragon",Calle Independencia 8510,Zaragoza,Aragon
ADR_NUHEGO_00000000F_072022_01,NUHEGO_00000000F_072022,espana,"Calle Central 2843, Madrid, Aragon",Calle Central 2843,Madrid,Aragon
ADR_NUHEGO_00000000F_072022_02,NUHEGO_00000000F_072022,espana,"Calle Sur 8311, Barcelona, Madrid",Calle Sur 8311,Barcelona,Madrid
ADR_ALGODI_12041983M_042023_01,ALGODI_12041983M_042023,espana,"Ronda Norte 1714, Sevilla, Valencia",Ronda Norte 1714,Sevilla,Valencia
ADR_ELGARU_22021966F_112020_01,ELGARU_22021966F_112020,espana,"Calle Reforma 1176, Zaragoza, Andalucia",Calle Reforma 1176,Zaragoza,Andalucia
ADR_LUJIJI_05081950F_022020_01,LUJIJI_05081950F_022020,espana,"Paseo Salud 4642, Sevilla, Aragon",Paseo Salud 4642,Sevilla,Aragon
ADR_CAGAPE_22071999F_082022_01,CAGAPE_22071999F_082022,espana,"Avenida Norte 5548, Barcelona, Andalucia",Avenida Norte 5548,Barcelona,Andalucia
ADR_PAGOGA_11061984F_042023_01,PAGOGA_11061984F_042023,espana,"Paseo Reforma 3614, Sevilla, Valencia",Paseo Reforma 3614,Sevilla,Valencia
ADR_CARUJI_27012003F_022020_01,CARUJI_27012003F_022020,espana,"Ronda Independencia 3852, Barcelona, Andalucia",Ronda Independencia 3852,Barcelona,Andalucia
ADR_MAMAJI_26041976M_112023_01,MAMAJI_26041976M_112023,espana,"Paseo Reforma 5730, Valencia, Aragon",Paseo Reforma 5730,Valencia,Aragon
ADR_CARORO_03041974F_022020_01,CARORO_03041974F_022020,espana,"Paseo Norte 6219, Madrid, Valencia",Paseo Norte 6219,Madrid,Valencia
ADR_MIDIRO_15101984M_122023_01,MIDIRO_15101984M_122023,espana,"Calle Independencia 1698, Zaragoza, Andalucia",Calle Independencia 1698,Zaragoza,Andalucia
ADR_MARODI_24011984F_052021_01,MARODI_24011984F_052021,espana,"Ronda Central 5767, Barcelona, Valencia",Ronda Central 5767,Barcelona,Valencia
ADR_IRRUGO_23111977F_102023_01,IRRUGO_23111977F_102023,espana,"Calle Reforma 1855, Zaragoza, Madrid",Calle Reforma 1855,Zaragoza,Madrid
ADR_PAMAJI_26021941F_022022_01,PAMAJI_26021941F_022022,espana,"Paseo Central 8221, Sevilla, Madrid",Paseo Central 8221,Sevilla,Madrid
ADR_LAMAGO_22072004F_052021_01,LAMAGO_22072004F_052021,espana,"Ronda Salud 6920, Zaragoza, Andalucia",Ronda Salud 6920,Zaragoza,Andalucia
ADR_ALSASA_05121976M_012021_01,ALSASA_05121976M_012021,espana,"Ronda Reforma 1105, Barcelona, Cataluna",Ronda Reforma 1105,Barcelona,Cataluna
ADR_ALGOSA_01081941M_102021_01,ALGOSA_01081941M_102021,espana,"Avenida Sur 1239, Valencia, Aragon",Avenida Sur 1239,Valencia,Aragon
ADR_SAMAMA_06052017F_092021_01,SAMAMA_06052017F_092021,espana,"Avenida Independencia 7536, Sevilla, Valencia",Avenida Independencia 7536,Sevilla,Valencia
ADR_MAMAJI_30091957M_082020_01,MAMAJI_30091957M_082020,espana,"Avenida Sur 5667, Valencia, Aragon",Avenida Sur 5667,Valencia,Aragon
ADR_CAGOSA_02021987F_082020_01,CAGOSA_02021987F_082020,espana,"Avenida Reforma 3342, Barcelona, Aragon",Avenida Reforma 3342,Barcelona,Aragon
ADR_IRDISA_02102015F_082022_01,IRDISA_02102015F_082022,espana,"Avenida Sur 8142, Zaragoza, Madrid",Avenida Sur 8142,Zaragoza,Madrid
ADR_MAHERO_09041984F_082023_01,MAHERO_09041984F_082023,espana,"Paseo Salud 3562, Zaragoza, Cataluna",Paseo Salud 3562,Zaragoza,Cataluna
ADR_CAHELO_21081990F_052023_01,CAHELO_21081990F_052023,espana,"Avenida Sur 1399, Barcelona, Valencia",Avenida Sur 1399,Barcelona,Valencia
ADR_RAGADI_05071966M_032023_01,RAGADI_05071966M_032023,espana,"Ronda Reforma 3283, Sevilla, Andalucia",Ronda Reforma 3283,Sevilla,Andalucia
ADR_CAMAMA_06051995M_062020_01,CAMAMA_06051995M_062020,espana,"Paseo Reforma 5444, Sevilla, Aragon",Paseo Reforma 5444,Sevilla,Aragon
ADR_IRPERU_20101980F_122021_01,IRPERU_20101980F_122021,espana,"Calle Salud 5836, Sevilla, Cataluna",Calle Salud 5836,Sevilla,Cataluna
ADR_SALOJI_12072016F_062021_01,SALOJI_12072016F_062021,espana,"Avenida Salud 8505, Madrid, Valencia",Avenida Salud 8505,Madrid,Valencia
ADR_LAGOGA_04101968F_012023_01,LAGOGA_04101968F_012023,espana,"Avenida Independencia 2324, Madrid, Cataluna",Avenida Independencia 2324,Madrid,Cataluna
ADR_MARODI_21051962F_072023_01,MARODI_21051962F_072023,espana,"Paseo Independencia 1808, Valencia, Madrid",Paseo Independencia 1808,Valencia,Madrid
ADR_SAFEJI_18041975F_012023_01,SAFEJI_18041975F_012023,espana,"Calle Salud 932, Sevilla, Madrid",Calle Salud 932,Sevilla,Madrid
ADR_MAFEFE_26011995F_022020_01,MAFEFE_26011995F_022020,espana,"Calle Independencia 6433, Barcelona, Valencia",Calle Independencia 6433,Barcelona,Valencia
ADR_PARUMA_10052008F_052023_01,PARUMA_10052008F_052023,espana,"Ronda Reforma 8824, Sevilla, Cataluna",Ronda Reforma 8824,Sevilla,Cataluna
ADR_JASADI_12081992M_052020_01,JASADI_12081992M_052020,espana,"Paseo Norte 8976, Madrid, Cataluna",Paseo Norte 8976,Madrid,Cataluna
ADR_LAMAPE_27081979F_072023_01,LAMAPE_27081979F_072023,espana,"Ronda Independencia 3124, Valencia, Cataluna",Ronda Independencia 3124,Valencia,Cataluna
ADR_MARURU_14061967F_082023_01,MARURU_14061967F_082023,espana,"Ronda Norte 4919, Barcelona, Andalucia",Ronda Norte 4919,Barcelona,Andalucia
ADR_LAHEDI_25031963F_112022_01,LAHEDI_25031963F_112022,espana,"Ronda Central 6246, Zaragoza, Andalucia",Ronda Central 6246,Zaragoza,Andalucia
ADR_PAHERO_07101996M_072021_01,PAHERO_07101996M_072021,espana,"Ronda Central 2746, Valencia, Madrid",Ronda Central 2746,Valencia,Madrid
