pair_id,left_index,right_index,nombre_a,nombre_b,fecha_nacimiento_a,fecha_nacimiento_b,sexo_a,sexo_b,telefono_a,telefono_b,correo_a,correo_b,pais_a,pais_b,id_consulta_a,id_consulta_b,decision_manual
PAIR_0018,199,2142,maria fernandez fernandez,marta sanchez martin,2005-05-25,2005-05-25,F,F,34622330934,65622965,,marta.sanchez.001937@outlook.com,espana,espana,MFF_F_ESP_2212_00,MSM_F_ESP_2410_76,
PAIR_0019,205,649,marta ruiz lopez,maria lopez rodriguez,1972-02-14,1972-02-14,F,F,34693195563,669530441,marta.ruiz.001473@hospitalmail.com,maria.lopez.000807@mail.com,espana,espana,MRL_F_ESP_0111_06,MLR_F_ESP_1205_50,
PAIR_0020,649,2404,maria lopez rodriguez,marta ruiz lopez,1972-02-14,1972-02-14,F,F,669530441,693195563,maria.lopez.000807@mail.com,marta.ruiz.001473@hospitalmail.com,espana,espana,MLR_F_ESP_1205_50,MRL_F_ESP_2402_38,
PAIR_0021,649,3239,maria lopez rodriguez,marta ruiz lopez,1972-02-14,1972-02-14,F,F,669530441,34693195563,maria.lopez.000807@mail.com,marta.ruiz.001473@hospitalmail.com,espana,espana,MLR_F_ESP_1205_50,MRL_F_ESP_0205_73,
PAIR_0022,649,4994,maria lopez rodriguez,marta ruiz lopez,1972-02-14,1972-02-14,F,F,669530441,693195563,maria.lopez.000807@mail.com,marta.ruiz.001473@hospitalmail.com,espana,espana,MLR_F_ESP_1205_50,MRL_F_ESP_2507_61,
PAIR_0023,489,676,maria hernandez rodriguez,maria hernandez,1951-11-16,1951-11-16,F,F,34627481458,627481458,maria.hernandez.000048@mail.com,,espana,espana,MHR_F_ESP_2604_90,MHR_F_ESP_0309_77,
PAIR_0024,225,2758,maria hernandez rodriguez,maria hernandez,1951-11-16,1951-11-16,F,F,627481458,34627481458,maria.hernandez.000048@mail.com,,espana,espana,MHR_F_ESP_1902_26,MHR_F_ESP_2010_92,
PAIR_0025,676,2758,maria hernandez,maria hernandez,1951-11-16,1951-11-16,F,F,627481458,34627481458,,,espana,espana,MHR_F_ESP_0309_77,MHR_F_ESP_2010_92,
PAIR_0026,252,4532,pablo perez,pablo perez rodriguez,1978-05-26,1978-05-26,M,M,654862935,34654862935,,pablo.perez.000145@hospitalmail.com,espana,espana,PPR_M_ESP_0410_53,PPR_M_ESP_2411_99,
PAIR_0027,1930,4807,javier diaz,javier diaz ruiz,1945-08-27,1945-08-27,M,M,34639934448,639934448,javier.diaz.001168@gmail.com,,espana,espana,JDR_M_ESP_1611_64,JDR_M_ESP_1804_74,
PAIR_0028,1930,4173,javier diaz,javier diaz ruiz,1945-08-27,1945-08-27,M,M,34639934448,639934448,javier.diaz.001168@gmail.com,,espana,espana,JDR_M_ESP_1611_64,JDR_M_ESP_1307_40,
PAIR_0029,291,3702,alejandro lopez sanchez,alejandro lopez,1956-07-10,1956-07-10,M,M,665605859,652868717,,alejandro.lopez.001119@hospitalmail.com,espana,espana,ALS_M_ESP_2707_92,ALD_M_ESP_0303_69,
PAIR_0030,293,4914,daniel peez garcia,daniel perez garcia,1949-03-02,1949-03-02,M,M,676142620,34676142620,,daniel.perez.000426@mail.com,espana,espana,DPG_M_ESP_2610_94,DPG_M_ESP_0509_81,
PAIR_0031,293,4078,daniel peez garcia,daniel perez garcia,1949-03-02,1949-03-02,M,M,676142620,34676142620,,,espana,espana,DPG_M_ESP_2610_94,DPG_M_ESP_2811_45,
PAIR_0032,295,3021,maria martin,maria martin hernandez,1972-02-20,1972-02-20,F,F,658556044,34658556044,maria.martin.000690@gmail.com,,espana,espana,MMH_F_ESP_0503_96,MMH_F_ESP_0304_55,
PAIR_0033,299,476,daniel sanchez perez,daniel sanchez,1962-07-05,1962-07-05,M,M,636949,34636949226,,daniel.sanchez.001939@hospitalmail.com,espana,espana,DSP_M_ESP_3103_00,DSP_M_ESP_1105_77,
PAIR_0034,301,4025,marta rodriguez fernandez,sara ruiz perez,1982-10-07,1982-10-07,F,F,647954101,627930,marta.rodriguez.000072@gmail.com,sara.ruiz.000665@hospitalmail.com,espana,espana,MRF_F_ESP_0407_02,SRP_F_ESP_2304_92,
PAIR_0035,3528,3798,marta rodriguez fernandez,sara ruiz perez,1982-10-07,1982-10-07,F,F,647954101,627930526,marta.rodriguez.000072@gmail.com,sara.ruiz.000665@hospitalmail.com,espana,espana,MRF_F_ESP_2601_95,SRP_F_ESP_0804_65,
PAIR_0036,3528,4025,marta rodriguez fernandez,sara ruiz perez,1982-10-07,1982-10-07,F,F,647954101,627930,marta.rodriguez.000072@gmail.com,sara.ruiz.000665@hospitalmail.com,espana,espana,MRF_F_ESP_2601_95,SRP_F_ESP_2304_92,
PAIR_0037,301,3798,marta rodriguez fernandez,sara ruiz perez,1982-10-07,1982-10-07,F,F,647954101,627930526,marta.rodriguez.000072@gmail.com,sara.ruiz.000665@hospitalmail.com,espana,espana,MRF_F_ESP_0407_02,SRP_F_ESP_0804_65,
PAIR_0038,989,2391,miguel prez sanchez,miguel perez sanchez,1992-06-22,1992-06-22,M,M,692114540,34692114540,,miguel.perez.000098@outlook.com,espana,espana,MPS_M_ESP_1406_90,MPS_M_ESP_2011_25,
PAIR_0039,1733,4755,sara gomez fernandez,sara gomez,1940-01-26,1940-01-26,F,F,601436644,601436,sara.gomez.000294@outlook.com,,espana,espana,SGF_F_ESP_1412_67,SGF_F_ESP_2702_22,
PAIR_0040,379,4755,sara gomez fernandez,sara gomez,1940-01-26,1940-01-26,F,F,601436644,601436,sara.gomez.000294@outlook.com,,espana,espana,SGF_F_ESP_1807_80,SGF_F_ESP_2702_22,
PAIR_0041,1131,4755,sara gomez fernandez,sara gomez,1940-01-26,1940-01-26,F,F,34601436644,601436,sara.gomez.000294@outlook.com,,espana,espana,SGF_F_ESP_0908_32,SGF_F_ESP_2702_22,
PAIR_0042,389,3513,alejandro ruiz,alejandro ruiz gomez,1953-01-22,1953-01-22,M,M,,659005960,alejandro.ruiz.001675@gmail.com,,espana,espana,ARG_M_ESP_0112_90,ARG_M_ESP_1105_80,
PAIR_0043,405,3727,javier diaz,javier diaz gomez,2002-04-21,2002-04-21,M,M,641194334,6411943,javier.diaz.000077@mail.com,,espana,espana,JDG_M_ESP_0805_06,JDG_M_ESP_3011_94,
PAIR_0044,407,4667,miguel gomez sanchez,miguel gomz sanchez,1986-03-20,1986-03-20,M,M,660732334,6607323,,miguel.gomez.000776@gmail.com,espana,espana,MGS_M_ESP_1902_08,MGS_M_ESP_1811_34,
PAIR_0045,408,2154,manuel hernandez ruiz,manuel gomez jimenez,1961-12-21,1961-12-21,M,M,697024947,600489119,manuel.hernandez.000322@mail.com,manuel.gomez.001231@mail.com,espana,espana,MHR_M_ESP_2412_09,MGJ_M_ESP_1806_88,
PAIR_0046,408,4290,manuel hernandez ruiz,manuel gomez jimenez,1961-12-21,1961-12-21,M,M,697024947,600489119,manuel.hernandez.000322@mail.com,manuel.gomez.001231@mail.com,espana,espana,MHR_M_ESP_2412_09,MGJ_M_ESP_1409_57,
PAIR_0047,408,2468,manuel hernandez ruiz,manuel gomez jimenez,1961-12-21,1961-12-21,M,M,697024947,600489119,manuel.hernandez.000322@mail.com,manuel.gomez.001231@mail.com,espana,espana,MHR_M_ESP_2412_09,MGJ_M_ESP_2608_02,
PAIR_0048,408,4897,manuel hernandez ruiz,manuel gomez jimenez,1961-12-21,1961-12-21,M,M,697024947,600489119,manuel.hernandez.000322@mail.com,manuel.gomez.001231@mail.com,espana,espana,MHR_M_ESP_2412_09,MGJ_M_ESP_2406_64,
PAIR_0049,408,1287,manuel hernandez ruiz,manuel gomez jimenez,1961-12-21,1961-12-21,M,M,697024947,600489119,manuel.hernandez.000322@mail.com,manuel.gomez.001231@mail.com,espana,espana,MHR_M_ESP_2412_09,MGJ_M_ESP_0211_88,
PAIR_0050,3364,4004,antonio perez,antonio perez ruiz,1958-06-05,1958-06-05,M,M,667426361,667426,antonio.perez.000481@outlook.com,,espana,espana,APR_M_ESP_0710_31,APR_M_ESP_2804_71,
PAIR_0051,445,3353,pablo sanchez,pablo sanchez jimenez,2002-11-03,2002-11-03,M,M,,683690018,pablo.sanchez.000958@gmail.com,,espana,espana,PSJ_M_ESP_2812_46,PSJ_M_ESP_0308_20,
PAIR_0052,446,3248,manuel lopez lopez,manuel lpez lopez,1949-03-29,1949-03-29,M,M,34630193934,630193934,,manuel.lopez.001718@gmail.com,espana,espana,MLL_M_ESP_2611_47,MLL_M_ESP_0705_82,
PAIR_0053,460,1802,alvaro diaz gomez,alvaro diaz,1960-11-16,1960-11-16,M,M,668346900,34668346900,,alvaro.diaz.002145@mail.com,espana,espana,ADG_M_ESP_2402_61,ADG_M_ESP_3005_36,
PAIR_0054,573,873,javier gomez,javier gomez gomez,1998-02-23,1998-02-23,M,M,34620801670,620801670,,,espana,espana,JGG_M_ESP_2710_74,JGG_M_ESP_1910_74,
PAIR_0055,3268,4230,marta ruiz jimenez,marta ruiz,2006-08-16,2006-08-16,F,F,34653738286,653738286,marta.ruiz.001607@hospitalmail.com,,espana,espana,MRJ_F_ESP_2705_02,MRJ_F_ESP_0709_97,
PAIR_0056,614,3016,l lopez fernandez,laura lpez fernandez,1990-10-16,1990-10-16,F,F,629855995,34629855995,laura.lopez.000915@hospitalmail.com,,espana,espana,LLF_F_ESP_2204_15,LLF_F_ESP_2504_50,
PAIR_0057,652,1070,david sanchez,david sanchez martin,1945-02-23,1945-02-23,M,M,656099915,65609991,,david.sanchez.000753@outlook.com,espana,espana,DSM_M_ESP_2801_53,DSM_M_ESP_0710_71,
PAIR_0058,2134,3380,carmen martin,carmen martin martinez,1967-01-02,1967-01-02,F,F,34642843238,642843238,carmen.martin.000398@gmail.com,,espana,espana,CMM_F_ESP_1603_68,CMM_F_ESP_1012_47,
PAIR_0059,2173,3314,alvaro sanchez,alvaro sanchez diaz,1979-04-29,1979-04-29,M,M,626420106,34626420106,,alvaro.sanchez.001078@gmail.com,espana,espana,ASD_M_ESP_1110_07,ASD_M_ESP_3012_48,
PAIR_0060,1198,4386,maria sanchez hernandez,maria sanchez,1957-05-16,1957-05-16,F,F,636419104,34636419104,maria.sanchez.001384@mail.com,,espana,espana,MSH_F_ESP_0509_99,MSH_F_ESP_2808_53,
PAIR_0061,796,4386,maria sanchez hernandez,maria sanchez,1957-05-16,1957-05-16,F,F,636419104,34636419104,maria.sanchez.001384@mail.com,,espana,espana,MSH_F_ESP_2208_97,MSH_F_ESP_2808_53,
PAIR_0062,856,4861,lucia sanchez martinez,lucia sanchez,1940-12-30,1940-12-30,F,F,34684478588,684478588,,,espana,espana,LSM_F_ESP_1007_57,LSM_F_ESP_0807_28,
PAIR_0063,1297,3310,paula perez,paula perez jimenez,2019-07-10,2019-07-10,F,F,655634410,34655634410,paula.perez.000533@mail.com,,espana,espana,PPJ_F_ESP_1410_98,PPJ_F_ESP_0808_44,
PAIR_0064,1725,2864,d perez jimenez,daniel peez jimenez,1965-08-14,1965-08-14,M,M,34644495929,644495929,,daniel.perez.000382@mail.com,espana,espana,DPJ_M_ESP_1011_59,DPJ_M_ESP_1702_98,
PAIR_0065,1004,1963,carmen gomez,carmen gomez diaz,2012-10-02,2012-10-02,F,F,638972476,6389724,carmen.gomez.002099@mail.com,,espana,espana,CGD_F_ESP_2804_05,CGD_F_ESP_2410_97,
PAIR_0066,2613,3140,nuria rodriguez hernandez,claudia rodriguez gomez,1977-03-26,1977-03-26,F,F,631116975,629881465,nuria.rodriguez.000212@gmail.com,claudia.rodriguez.002101@gmail.com,espana,espana,NRH_F_ESP_2906_47,CRG_F_ESP_2902_74,
PAIR_0067,1779,2613,claudia rodriguez gomez,nuria rodriguez hernandez,1977-03-26,1977-03-26,F,F,629881465,631116975,,nuria.rodriguez.000212@gmail.com,espana,espana,CRG_F_ESP_2909_13,NRH_F_ESP_2906_47,
PAIR_0068,3140,4438,claudia rodriguez gomez,nuria rodriguez hernandez,1977-03-26,1977-03-26,F,F,629881465,631116975,claudia.rodriguez.002101@gmail.com,,espana,espana,CRG_F_ESP_2902_74,NRH_F_ESP_2308_05,
PAIR_0069,1779,4438,claudia rodriguez gomez,nuria rodriguez hernandez,1977-03-26,1977-03-26,F,F,629881465,631116975,,,espana,espana,CRG_F_ESP_2909_13,NRH_F_ESP_2308_05,
PAIR_0070,1120,3140,nuria rodriguez hernandez,claudia rodriguez gomez,1977-03-26,1977-03-26,F,F,631116975,629881465,,claudia.rodriguez.002101@gmail.com,espana,espana,NRH_F_ESP_0910_21,CRG_F_ESP_2902_74,
PAIR_0071,1779,3231,claudia rodriguez gomez,nuria rodriguez hernandez,1977-03-26,1977-03-26,F,F,629881465,631116975,,nuria.rodriguez.000212@gmail.com,espana,espana,CRG_F_ESP_2909_13,NRH_F_ESP_1405_65,
PAIR_0072,3140,3231,claudia rodriguez gomez,nuria rodriguez hernandez,1977-03-26,1977-03-26,F,F,629881465,631116975,claudia.rodriguez.002101@gmail.com,nuria.rodriguez.000212@gmail.com,espana,espana,CRG_F_ESP_2902_74,NRH_F_ESP_1405_65,
PAIR_0073,1120,1779,nuria rodriguez hernandez,claudia rodriguez gomez,1977-03-26,1977-03-26,F,F,631116975,629881465,,,espana,espana,NRH_F_ESP_0910_21,CRG_F_ESP_2909_13,
PAIR_0074,1125,3877,i lopez sanchez,isabel lopez fernandez,1981-12-23,1981-12-23,F,F,685041702,678022448,isabel.lopez.000883@outlook.com,isabel.lopez.001138@hospitalmail.com,espana,espana,ILS_F_ESP_0908_26,ILF_F_ESP_2810_44,
PAIR_0075,2163,3877,isabel lopez sanchez,isabel lopez fernandez,1981-12-23,1981-12-23,F,F,34685041702,678022448,isabel.lopez.000883@outlook.com,isabel.lopez.001138@hospitalmail.com,espana,espana,ILS_F_ESP_2206_97,ILF_F_ESP_2810_44,
PAIR_0076,1587,2767,daniel sanchez gomez,daniel sanchez,2024-08-18,2024-08-18,M,M,34633889989,633889989,,daniel.sanchez.001996@outlook.com,espana,espana,DSG_M_ESP_2705_88,DSG_M_ESP_3011_01,
PAIR_0077,3475,3950,carlos gomez gomez,carlos gomez,1958-12-15,1958-12-15,M,M,,680455693,carlos.gomez.001529@outlook.com,,espana,espana,CGG_M_ESP_1603_42,CGG_M_ESP_1609_17,
PAIR_0078,1339,3211,manuel fernandez martinez,manuel fernandez,1983-05-27,1983-05-27,M,M,,34643321984,,manuel.fernandez.000555@mail.com,espana,espana,MFM_M_ESP_2604_40,MFM_M_ESP_2705_45,
PAIR_0079,1355,3341,claudia gomez,claudia gomez fernandez,1984-08-01,1984-08-01,F,F,680288373,34680288373,claudia.gomez.000644@outlook.com,,espana,espana,CGF_F_ESP_0704_56,CGF_F_ESP_0708_08,
PAIR_0080,1394,3773,daniel fernandez,daniel fernandez lopez,1952-03-23,1952-03-23,M,M,34621153388,621153388,,,espana,espana,DFL_M_ESP_0209_95,DFL_M_ESP_0509_40,
PAIR_0081,1767,3191,carmen sanchez jimenez,carmen sanchez,1965-08-21,1965-08-21,F,F,,638979577,,carmen.sanchez.001179@mail.com,espana,espana,CSJ_F_ESP_1712_01,CSJ_F_ESP_1001_25,
PAIR_0082,1432,1767,carmen sanchez,carmen sanchez jimenez,1965-08-21,1965-08-21,F,F,638979577,,carmen.sanchez.001179@mail.com,,espana,espana,CSJ_F_ESP_0912_33,CSJ_F_ESP_1712_01,
PAIR_0083,1438,1917,miguel lopez,miguel lopez garcia,1958-11-28,1958-11-28,M,M,34696715769,696715769,,miguel.lopez.000432@mail.com,espana,espana,MLG_M_ESP_0809_39,MLG_M_ESP_0208_51,
PAIR_0084,1483,4235,paula martinez,paula martinez ruiz,1941-08-26,1941-08-26,F,F,34638125903,638125903,paula.martinez.001898@hospitalmail.com,,espana,espana,PMR_F_ESP_2105_84,PMR_F_ESP_2810_02,
PAIR_0085,2019,3249,carmen hernandez,c hernandez perez,1940-02-20,1940-02-20,F,F,684776955,684776,,carmen.hernandez.000238@gmail.com,espana,espana,CHP_F_ESP_2108_53,CHP_F_ESP_1007_83,
PAIR_0086,2019,3315,carmen hernandez,carmen hernandez perez,1940-02-20,1940-02-20,F,F,684776955,684776,,carmen.hernandez.000238@gmail.com,espana,espana,CHP_F_ESP_2108_53,CHP_F_ESP_0712_49,
PAIR_0087,1566,2257,javier lopez,javier lopez jimenez,1972-03-27,1972-03-27,M,M,686597955,34686597955,javier.lopez.000138@mail.com,,espana,espana,JLJ_M_ESP_0405_67,JLJ_M_ESP_1902_91,
PAIR_0088,1586,4475,sara perez gomez,sara perez,1976-04-05,1976-04-05,F,F,6837945,683794529,sara.perez.000326@gmail.com,,espana,espana,SPG_F_ESP_1204_87,SPG_F_ESP_0401_42,
PAIR_0089,1603,3865,d sanchez hernandez,daniel snchez hernandez,1990-10-03,1990-10-03,M,M,634531138,34634531138,,daniel.sanchez.001911@mail.com,espana,espana,DSH_M_ESP_2508_04,DSH_M_ESP_2008_32,
PAIR_0090,1610,4947,sergio martin jimenez,carlos fernandez jimenez,1972-10-04,1972-10-04,M,M,697645599,669718739,sergio.martin.001085@outlook.com,carlos.fernandez.000161@hospitalmail.com,espana,espana,SMJ_M_ESP_0608_11,CFJ_M_ESP_0805_14,
PAIR_0091,1614,1699,rafael gomez gomez,rafael lopez gomez,1944-08-12,1944-08-12,M,M,686059721,34600257744,rafael.gomez.001665@gmail.com,rafael.lopez.001406@hospitalmail.com,espana,espana,RGG_M_ESP_0511_15,RLG_M_ESP_0403_33,
PAIR_0092,1614,3433,rafael gomez gomez,rafael lopez,1944-08-12,1944-08-12,M,M,686059721,600257744,rafael.gomez.001665@gmail.com,rafael.lopez.001406@hospitalmail.com,espana,espana,RGG_M_ESP_0511_15,RLG_M_ESP_1511_00,
PAIR_0093,3433,3823,rafael lopez,rafael gomez gomez,1944-08-12,1944-08-12,M,M,600257744,6860597,rafael.lopez.001406@hospitalmail.com,rafael.gomez.001665@gmail.com,espana,espana,RLG_M_ESP_1511_00,RGG_M_ESP_0408_90,
PAIR_0094,1699,3823,rafael lopez gomez,rafael gomez gomez,1944-08-12,1944-08-12,M,M,34600257744,6860597,rafael.lopez.001406@hospitalmail.com,rafael.gomez.001665@gmail.com,espana,espana,RLG_M_ESP_0403_33,RGG_M_ESP_0408_90,
PAIR_0095,1681,3767,alvaro perez,alvaro perez gomez,1954-03-09,1954-03-09,M,M,638886129,63888612,alvaro.perez.002129@hospitalmail.com,,espana,espana,APG_M_ESP_3009_15,APG_M_ESP_0809_34,
PAIR_0096,1741,4669,claudia lopez,claudia lopez martin,1942-07-19,1942-07-19,F,F,664544094,34664544094,claudia.lopez.002093@outlook.com,,espana,espana,CLM_F_ESP_0602_75,CLM_F_ESP_2105_36,
PAIR_0097,1776,2729,marta ruiz,marta ruiz sanchez,2024-06-11,2024-06-11,F,F,637311,637311516,marta.ruiz.001044@outlook.com,,espana,espana,MRS_F_ESP_0301_10,MRS_F_ESP_1708_63,
PAIR_0098,1776,2010,marta ruiz,marta ruiz sanchez,2024-06-11,2024-06-11,F,F,637311,34637311516,marta.ruiz.001044@outlook.com,,espana,espana,MRS_F_ESP_0301_10,MRS_F_ESP_1103_44,
PAIR_0099,1824,2161,nuria lopez,nuria lopez perez,1974-04-28,1974-04-28,F,F,683685811,,nuria.lopez.002085@mail.com,,espana,espana,NLP_F_ESP_0104_58,NLP_F_ESP_1504_95,
PAIR_0100,1852,2341,carlos fernandez,carlos fernandez martinez,2009-09-28,2009-09-28,M,M,681538973,34681538973,,,espana,espana,CFM_M_ESP_1401_86,CFM_M_ESP_2112_75,
PAIR_0101,1932,2944,nuria lopez sanchez,nuria lopz sanchez,1975-08-12,1975-08-12,F,F,34697336043,697336043,,nuria.lopez.001907@mail.com,espana,espana,NLS_F_ESP_0801_66,NLS_F_ESP_1701_78,
PAIR_0102,1938,2032,carmen gomez,carmen gomez garcia,2023-01-22,2023-01-22,F,F,34665726572,665726572,carmen.gomez.000530@gmail.com,,espana,espana,CGG_F_ESP_0205_72,CGG_F_ESP_1603_66,
PAIR_0103,2079,4175,carlos perez sanchez,carlos perez,2002-02-02,2002-02-02,M,M,34639084374,639084374,,carlos.perez.000329@outlook.com,espana,espana,CPS_M_ESP_2012_13,CPS_M_ESP_2912_42,
PAIR_0104,2294,4183,alejandro lopez diaz,alejandro lopez,2011-10-14,2011-10-14,M,M,34652868717,665605859,alejandro.lopez.001119@hospitalmail.com,alejandro.lopez.002139@mail.com,espana,espana,ALD_M_ESP_0401_28,ALS_M_ESP_0303_50,
PAIR_0105,2358,3031,carlos sanchez,carlos sanchez,1961-02-18,1961-02-18,M,M,673882869,34673882869,,carlos.sanchez.001559@outlook.com,espana,espana,CSR_M_ESP_3108_92,CSR_M_ESP_2206_65,
PAIR_0106,4710,4764,sergio fernandez fernandez,sergio fernandez,1982-02-03,1982-02-03,M,M,606435152,34606435152,,sergio.fernandez.001499@outlook.com,espana,espana,SFF_M_ESP_1502_77,SFF_M_ESP_1411_31,
PAIR_0107,3929,4131,alvaro perez garcia,alvaro perez,1988-10-04,1988-10-04,M,M,627105414,34627105414,,alvaro.perez.000472@outlook.com,espana,espana,APG_M_ESP_0606_96,APG_M_ESP_0310_98,
PAIR_0108,3811,4309,antonio ruiz perez,antonio ruiz,1988-03-20,1988-03-20,M,M,34693097502,693097502,antonio.ruiz.001039@gmail.com,,espana,espana,ARP_M_ESP_2906_78,ARP_M_ESP_0908_76,
PAIR_0109,5374,9270,joseph jones anderson,joseph wilson brown,2004-11-20,2004-11-20,M,M,12022829390,2026642628,joseph.jones.001254@outlook.com,joseph.wilson.001715@outlook.com,estados_unidos,estados_unidos,JJA_M_USA_1208_75,JWB_M_USA_0902_37,
PAIR_0110,7014,9270,joseph jones anderson,joseph wilson brown,2004-11-20,2004-11-20,M,M,2022829390,2026642628,joseph.jones.001254@outlook.com,joseph.wilson.001715@outlook.com,estados_unidos,estados_unidos,JJA_M_USA_1006_48,JWB_M_USA_0902_37,
PAIR_0111,5017,9270,joseph jones anderson,joseph wilson brown,2004-11-20,2004-11-20,M,M,2022829390,2026642628,joseph.jones.001254@outlook.com,joseph.wilson.001715@outlook.com,estados_unidos,estados_unidos,JJA_M_USA_0210_18,JWB_M_USA_0902_37,
PAIR_0112,5041,5489,charles anderson martinez,charles anderson,1951-11-25,1951-11-25,M,M,12025672408,2025672408,charles.anderson.002174@hospitalmail.com,,estados_unidos,estados_unidos,CAM_M_USA_0101_42,CAM_M_USA_0608_90,
PAIR_0113,7369,8576,sarah miller,sarah miller williams,2018-10-05,2018-10-05,F,F,2025294835,202529483,,sarah.miller.000435@hospitalmail.com,estados_unidos,estados_unidos,SMW_F_USA_0405_03,SMW_F_USA_3001_43,
PAIR_0114,7369,8508,sarah miller,sarah miller williams,2018-10-05,2018-10-05,F,F,2025294835,,,sarah.miller.000435@hospitalmail.com,estados_unidos,estados_unidos,SMW_F_USA_0405_03,SMW_F_USA_1702_75,
PAIR_0115,7255,7369,sarah miller williams,sarah miller,2018-10-05,2018-10-05,F,F,12025294835,2025294835,sarah.miller.000435@hospitalmail.com,,estados_unidos,estados_unidos,SMW_F_USA_0410_89,SMW_F_USA_0405_03,
PAIR_0116,5142,8075,robert davis,robert davis rodriguez,1992-12-29,1992-12-29,M,M,2028594267,,,,estados_unidos,estados_unidos,RDR_M_USA_1012_43,RDR_M_USA_2706_09,
PAIR_0117,5667,6426,susan garcia moore,susan gacia moore,1977-01-31,1977-01-31,F,F,2029009802,12029009802,,,estados_unidos,estados_unidos,SGM_F_USA_1811_68,SGM_F_USA_3009_27,
